time,temp_s(c)
0.0,30.4
0.09623430962343096,30.4087541282
0.19246861924686193,30.4098013105
0.2887029288702929,30.403764968
0.38493723849372385,30.3912685218
0.4811715481171548,30.3729353929
0.5774058577405858,30.3493890026
0.6736401673640168,30.3212527719
0.7698744769874477,30.289150122
0.8661087866108786,30.253704474
0.9623430962343096,30.2155392491
1.0585774058577406,30.1752778682
1.1548117154811717,30.1335437526
1.2510460251046025,30.0909603234
1.3472803347280335,30.0481510017
1.4435146443514644,30.0057392086
1.5397489539748954,29.9643483652
1.6359832635983265,29.9246018927
1.7322175732217573,29.8871232122
1.8284518828451883,29.8525357448
1.9246861924686192,29.8214629116
2.0209205020920504,29.7945253914
2.1171548117154813,29.7718732324
2.213389121338912,29.7526562278
2.3096234309623433,29.7358962241
2.405857740585774,29.7206150678
2.502092050209205,29.7058346053
2.598326359832636,29.690576683
2.694560669456067,29.6738631474
2.790794979079498,29.6547158449
2.8870292887029287,29.6321566219
2.98326359832636,29.6052073249
3.079497907949791,29.5730897765
3.1757322175732217,29.5363859519
3.271966527196653,29.4962442264
3.3682008368200838,29.4538148409
3.4644351464435146,29.4102480366
3.560669456066946,29.3666940547
3.6569037656903767,29.3243031361
3.7531380753138075,29.2842255221
3.8493723849372383,29.2476114536
3.9456066945606696,29.2156111719
4.041841004184101,29.1893534853
4.138075313807532,29.1692827089
4.2343096234309625,29.1550315474
4.330543933054393,29.146185618
4.426778242677824,29.1423305379
4.523012552301255,29.1430519244
4.619246861924687,29.1479353948
4.7154811715481175,29.1565665662
4.811715481171548,29.1685310558
4.907949790794979,29.1834144811
5.00418410041841,29.2008024497
5.100418410041841,29.2201513578
5.196652719665272,29.2404638361
5.292887029288703,29.2606429606
5.389121338912134,29.2795918071
5.485355648535565,29.2962134517
5.581589958158996,29.3094109702
5.677824267782427,29.3180874386
5.7740585774058575,29.3211459328
5.870292887029289,29.3174895287
5.96652719665272,29.3060213024
6.062761506276151,29.2858428846
6.158995815899582,29.2584898673
6.2552301255230125,29.227129994
6.351464435146443,29.1949611296
6.447698744769874,29.1651811391
6.543933054393306,29.1409878876
6.640167364016737,29.1255792401
6.7364016736401675,29.1221530615
6.832635983263598,29.133907217
6.928870292887029,29.1640395714
7.02510460251046,29.2157355697
7.121338912133892,29.290827961
7.2175732217573225,29.3885994689
7.313807531380753,29.5080503175
7.410041841004184,29.6481807312
7.506276150627615,29.8079909341
7.602510460251046,29.9864811505
7.698744769874477,30.1826516047
7.794979079497908,30.3955025209
7.891213389121339,30.6240341233
7.98744769874477,30.8672466362
8.083682008368202,31.1239274511
8.179916317991632,31.3916000785
8.276150627615063,31.6673233088
8.372384937238493,31.9481552138
8.468619246861925,32.2311538656
8.564853556485355,32.513377336
8.661087866108787,32.7918836969
8.757322175732218,33.0637310204
8.853556485355648,33.3259773783
8.94979079497908,33.5756808427
9.04602510460251,33.8099421667
9.142259414225942,34.0269517453
9.238493723849373,34.2260532043
9.334728033472803,34.4066455814
9.430962343096235,34.5681279144
9.527196652719665,34.709899241
9.623430962343097,34.831358599
9.719665271966527,34.9319050261
9.815899581589958,35.0109375601
9.91213389121339,35.0678552387
10.00836820083682,35.1020576342
10.104602510460252,35.1139860871
10.200836820083682,35.107298171
10.297071129707113,35.0862701869
10.393305439330543,35.0551784359
10.489539748953975,35.018299219
10.585774058577407,34.9799088373
10.682008368200837,34.9442835917
10.778242677824268,34.9156997833
10.874476987447698,34.8984337131
10.97071129707113,34.8967616822
11.06694560669456,34.9145141104
11.163179916317992,34.9508476116
11.259414225941423,35.0021289946
11.355648535564853,35.0646877296
11.451882845188285,35.1348532869
11.548117154811715,35.2089551371
11.644351464435147,35.2833227504
11.740585774058578,35.3542855972
11.836820083682008,35.418173148
11.93305439330544,35.471314873
12.02928870292887,35.5100686934
12.125523012552302,35.532918289
12.221757322175732,35.5419086573
12.317991631799163,35.5394245457
12.414225941422595,35.5278507014
12.510460251046025,35.5095718718
12.606694560669457,35.4869728043
12.702928870292887,35.4624382462
12.799163179916318,35.4383529447
12.895397489539748,35.4171016472
12.99163179916318,35.4010691011
13.087866108786612,35.3922035851
13.184100418410042,35.3901845528
13.280334728033473,35.3939565635
13.376569037656903,35.4024637996
13.472803347280335,35.4146504437
13.569037656903767,35.429460678
13.665271966527197,35.445838685
13.761506276150628,35.462728647
13.857740585774058,35.4790747466
13.95397489539749,35.4938211662
14.05020920502092,35.5059552836
14.146443514644352,35.5153634607
14.242677824267783,35.5227814729
14.338912133891213,35.528978367
14.435146443514645,35.5347231902
14.531380753138075,35.5407849894
14.627615062761507,35.5479328117
14.723849372384937,35.5569357041
14.820083682008368,35.5685627135
14.9163179916318,35.583582887
15.01255230125523,35.6027638444
15.108786610878662,35.6259498451
15.205020920502092,35.6504739235
15.301255230125523,35.6732462332
15.397489539748953,35.6911769276
15.493723849372385,35.7011761603
15.589958158995817,35.7001540849
15.686192468619247,35.6850208548
15.782426778242678,35.6526866236
15.878661087866108,35.6000615449
15.97489539748954,35.5240557722
16.07112970711297,35.4220636018
16.167364016736403,35.2958495257
16.263598326359833,35.1494962652
16.359832635983263,34.987107827
16.456066945606693,34.8127882178
16.552301255230127,34.6306414443
16.648535564853557,34.4447715132
16.744769874476987,34.2592824313
16.84100418410042,34.0782782053
16.93723849372385,33.9058628418
17.03347280334728,33.7461081102
17.12970711297071,33.6013389783
17.225941422594143,33.4712754804
17.322175732217573,33.3554251484
17.418410041841003,33.2532955141
17.514644351464437,33.1643941093
17.610878661087867,33.088228466
17.707112970711297,33.0243061159
17.803347280334727,32.972134591
17.89958158995816,32.931221423
17.99581589958159,32.9010741439
18.09205020920502,32.8809608338
18.188284518828453,32.8690581645
18.284518828451883,32.8632320244
18.380753138075313,32.8613482793
18.476987447698747,32.8612727952
18.573221757322177,32.8608714379
18.669456066945607,32.8580100732
18.765690376569037,32.8505545671
18.86192468619247,32.8363707853
18.9581589958159,32.8133245937
19.05439330543933,32.779392512
19.150627615062763,32.7344583131
19.246861924686193,32.6800143038
19.343096234309623,32.6176031567
19.439330543933053,32.5487675443
19.535564853556487,32.4750501393
19.631799163179917,32.397993614
19.728033472803347,32.3191406412
19.82426778242678,32.2400338934
19.92050209205021,32.1622160431
20.01673640167364,32.0872281532
20.11297071129707,32.0161226811
20.209205020920503,31.9487787464
20.305439330543933,31.884902959
20.401673640167363,31.824201929
20.497907949790797,31.7663822662
20.594142259414227,31.7111505806
20.690376569037657,31.6582134823
20.786610878661087,31.607277581
20.88284518828452,31.5580494869
20.97907949790795,31.5102358099
21.07531380753138,31.4635798298
21.171548117154813,31.4181115023
21.267782426778243,31.373995667
21.364016736401673,31.3313979496
21.460251046025103,31.2904839756
21.556485355648537,31.2514193707
21.652719665271967,31.2143697605
21.748953974895397,31.1795007706
21.84518828451883,31.1469780265
21.94142259414226,31.116967154
22.03765690376569,31.0896337786
22.13389121338912,31.0651435259
22.230125523012553,31.0436620215
22.326359832635983,31.0253548911
22.422594142259413,31.0103877603
22.518828451882847,30.9989262546
22.615062761506277,30.9911359997
22.711297071129707,30.9871826211
22.80753138075314,30.9872317446
22.90376569037657,30.9914489957
23.0,31.0
